filename,cluster_index,Metabolite_classes,CF_superclass_score,MeanDecreaseAccuracy,annotation,ppm,M.Z,RT,Cosine.Score,No..of.Shared.Peaks,Mass.Diff..to.Library.Reference,Analog.,Nearest.Neighbors,Restoration_information
X532.385_3.004,1843,No matches,0,3.787828809,NA,NA,532.385,3.004,NA,NA,NA,Yes,Spectral Match to p-tert-Octylphenol heptaglycol ether from NIST14,not_restored
X560.416_3.006,1887,No matches,0,3.852053494,NA,NA,560.416,3.006,NA,NA,NA,Yes,Spectral Match to p-tert-Octylphenol heptaglycol ether from NIST14,not_restored
X576.411_2.999,1837,No matches,0,3.740172135,NA,NA,576.411,2.999,NA,NA,NA,Yes,Spectral Match to p-tert-Octylphenol undecaglycol ether from NIST14,not_restored
X604.442_3.001,1897,No matches,0,4.632276214,NA,NA,604.442,3.001,NA,NA,NA,Yes,Spectral Match to p-tert-Octylphenol heptaglycol ether from NIST14,not_restored
X608.393_3.098,56,No matches,0,2.581170377,PC 22:1;O_C30H58NO9P,1.31494125,608.393,3.098,0.911153,5,70.1149,Yes,DIDECANOYL-GLYCEROPHOSPHOCHOLINE,BNZ
X616.308_2.766,757,No matches,0,2.348166903,NA,NA,616.308,2.766,NA,NA,NA,Yes,Spectral Match to 1-(9Z-Octadecenoyl)-sn-glycero-3-phosphocholine from NIST14,BNZ
X620.437_2.993,1827,No matches,0,4.15396058,NA,NA,620.437,2.993,NA,NA,NA,Yes,Spectral Match to p-tert-Octylphenol undecaglycol ether from NIST14,not_restored
X648.468_2.995,1960,No matches,0,3.798332053,NA,NA,648.468,2.995,NA,NA,NA,Yes,"Spectral Match to 1-Octadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine from NIST14",not_restored
X650.403_3.014,6182,No matches,0,2.420190926,PC 24:2;O2_C32H60NO10P,0.307501751,650.403,3.014,0.926909,9,84.167,Yes,Self-Loop,not_restored
X664.463_2.992,1859,No matches,0,4.536428019,NA,NA,664.463,2.992,NA,NA,NA,Yes,Spectral Match to p-tert-Octylphenol undecaglycol ether from NIST14,not_restored
X666.433_3.092,173,No matches,0,3.04034368,PC 25:1;O2_C33H64NO10P,1.650575803,666.433,3.092,0.949152,9,66.1196,Yes,Self-Loop,not_restored
X679.068_2.179,5259,No matches,0,2.262168427,NA,NA,679.068,2.179,NA,NA,NA,No,NA,combo_BNZ
X708.489_2.982,1879,No matches,0,4.011017501,NA,NA,708.489,2.982,NA,NA,NA,Yes,Spectral Match to p-tert-Octylphenol undecaglycol ether from NIST14,not_restored
X752.515_2.977,1935,No matches,0,2.880069723,NA,NA,752.515,2.977,NA,NA,NA,Yes,Spectral Match to p-tert-Octylphenol undecaglycol ether from NIST14,not_restored
X898.581_3.224,4475,No matches,0,2.357390942,NA,NA,898.581,3.224,NA,NA,NA,Yes,Self-Loop,not_restored
