number,group,well,burden,position,position_group
196,Group14,C12,36.6487496,LVB,LVB_Group14
197,Group14,D1,0,LVB,LVB_Group14
198,Group14,D2,77.64179647,LVB,LVB_Group14
199,Group14,D3,2086.662753,LVB,LVB_Group14
200,Group14,D4,40.64303929,LVB,LVB_Group14
201,infected,D5,2887.126678,LVB,LVB_Group3E
202,infected,D6,42688.78602,LVB,LVB_Group3E
203,infected,D7,15838.83836,LVB,LVB_Group3E
204,infected,D8,1360.426697,LVB,LVB_Group3E
205,infected,D9,5260.847094,LVB,LVB_Group3E
206,combo,D10,2366.132589,LVB,LVB_Group9
207,combo,D11,1200.223383,LVB,LVB_Group9
208,combo,D12,72.70608039,LVB,LVB_Group9
209,combo,E1,381.2153079,LVB,LVB_Group9
210,combo,E2,25668.01249,LVB,LVB_Group9
211,Group10,E3,2081.991804,LVB,LVB_Group10
212,Group10,E4,12.69969307,LVB,LVB_Group10
213,Group10,E5,1078.8524,LVB,LVB_Group10
214,Group10,E6,4713.364331,LVB,LVB_Group10
215,Group10,E7,47.24998044,LVB,LVB_Group10
216,BNZ,E8,0.327869835,LVB,LVB_Group15
217,BNZ,E9,0,LVB,LVB_Group15
218,BNZ,E10,0.144788611,LVB,LVB_Group15
219,BNZ,E11,0.006743645,LVB,LVB_Group15
220,BNZ,E12,0.021928913,LVB,LVB_Group15
221,Group14,F1,0.005771945,LVB,LVB_Group14
222,Group14,F2,0.187794654,LVB,LVB_Group14
223,Group14,F3,0.051622538,LVB,LVB_Group14
224,Group14,F4,1441.601509,LVB,LVB_Group14
225,Group14,F5,218.2982111,LVB,LVB_Group14
226,infected,F6,305.7406846,LVB,LVB_Group3E
227,infected,F7,680.5886309,LVB,LVB_Group3E
228,infected,F8,990.5239005,LVB,LVB_Group3E
229,infected,F9,40.40971234,LVB,LVB_Group3E
230,infected,F10,9.362256968,LVB,LVB_Group3E
231,combo,F11,2.234211611,LVB,LVB_Group9
232,combo,F12,29179.92358,LVB,LVB_Group9
233,combo,G1,1.74573277,LVB,LVB_Group9
234,combo,G2,221.9937008,LVB,LVB_Group9
235,combo,G3,51.63551116,LVB,LVB_Group9
236,Group10,G4,9.449068023,LVB,LVB_Group10
237,Group10,G5,5.911036472,LVB,LVB_Group10
238,Group10,G6,171.2744273,LVB,LVB_Group10
239,Group10,G7,0,LVB,LVB_Group10
240,Group10,G8,2802.570965,LVB,LVB_Group10
241,BNZ,G9,2.22E-08,LVB,LVB_Group15
242,BNZ,G10,1.82E-08,LVB,LVB_Group15
243,BNZ,G11,0.003602461,LVB,LVB_Group15
244,BNZ,G12,4.08E-06,LVB,LVB_Group15
245,BNZ,H1,4.32E-06,LVB,LVB_Group15
246,Group14,H2,0.009495141,LVB,LVB_Group14
247,Group14,H3,21.16345905,LVB,LVB_Group14
248,Group14,H4,2.59198219,LVB,LVB_Group14
249,Group14,H5,0.074186377,LVB,LVB_Group14
250,Group14,H6,0.085292052,LVB,LVB_Group14
511,naive,A1,0.000119417,RVT,RVT_Group1C
512,naive,A2,0,RVT,RVT_Group1C
513,naive,A3,0.361822764,RVT,RVT_Group1C
514,naive,A4,0,RVT,RVT_Group1C
515,naive,A5,0.304064985,RVT,RVT_Group1C
531,naive,A6,0,RVT,RVT_Group1C
532,naive,A7,0.000541329,RVT,RVT_Group1C
533,naive,A8,7.26E-05,RVT,RVT_Group1C
534,naive,A9,0.009630258,RVT,RVT_Group1C
535,naive,A10,0,RVT,RVT_Group1C
551,naive,A11,0.080878874,RVT,RVT_Group1C
552,naive,A12,0.055177283,RVT,RVT_Group1C
553,naive,B1,0.016593749,RVT,RVT_Group1C
554,naive,B2,0,RVT,RVT_Group1C
555,naive,B3,0,RVT,RVT_Group1C
581,infected,B4,0.03560073,RVT,RVT_Group3E
582,infected,B5,0.176435173,RVT,RVT_Group3E
583,infected,B6,15.83235033,RVT,RVT_Group3E
584,infected,B7,77.86220886,RVT,RVT_Group3E
585,infected,B8,32165.70579,RVT,RVT_Group3E
611,combo,B9,41.58557299,RVT,RVT_Group9
612,combo,B10,0.006434323,RVT,RVT_Group9
613,combo,B11,4.504776778,RVT,RVT_Group9
614,combo,B12,15.89505262,RVT,RVT_Group9
615,combo,C1,0.526709182,RVT,RVT_Group9
616,Group10,C2,100.2738696,RVT,RVT_Group10
617,Group10,C3,149.4728281,RVT,RVT_Group10
618,Group10,C4,2.065029493,RVT,RVT_Group10
619,Group10,C5,0.003681867,RVT,RVT_Group10
620,Group10,C6,1.057161693,RVT,RVT_Group10
631,BNZ,C7,0.183972821,RVT,RVT_Group15
632,BNZ,C8,0.001404988,RVT,RVT_Group15
633,BNZ,C9,2.300672752,RVT,RVT_Group15
634,BNZ,C10,0.080893281,RVT,RVT_Group15
635,BNZ,C11,0,RVT,RVT_Group15
641,Group14,C12,10593.37611,RVT,RVT_Group14
642,Group14,D1,5496.449996,RVT,RVT_Group14
643,Group14,D2,20.84852572,RVT,RVT_Group14
644,Group14,D3,454.9260484,RVT,RVT_Group14
645,Group14,D4,105.6991977,RVT,RVT_Group14
666,infected,D5,1.459835414,RVT,RVT_Group3E
667,infected,D6,36.2787852,RVT,RVT_Group3E
668,infected,D7,30.94692385,RVT,RVT_Group3E
669,infected,D8,36.51004231,RVT,RVT_Group3E
670,infected,D9,566.1459536,RVT,RVT_Group3E
696,combo,D10,1976.941749,RVT,RVT_Group9
697,combo,D11,7.365602182,RVT,RVT_Group9
698,combo,D12,665.8613933,RVT,RVT_Group9
699,combo,E1,28.56445354,RVT,RVT_Group9
700,combo,E2,58.66228435,RVT,RVT_Group9
701,Group10,E3,1.033235879,RVT,RVT_Group10
702,Group10,E4,0.565262027,RVT,RVT_Group10
703,Group10,E5,300.2963249,RVT,RVT_Group10
704,Group10,E6,6347.120846,RVT,RVT_Group10
705,Group10,E7,6.268432452,RVT,RVT_Group10
716,BNZ,E8,1.619223568,RVT,RVT_Group15
717,BNZ,E9,0,RVT,RVT_Group15
718,BNZ,E10,0.020963446,RVT,RVT_Group15
719,BNZ,E11,0.013488648,RVT,RVT_Group15
720,BNZ,E12,0,RVT,RVT_Group15
726,Group14,F1,45.51551444,RVT,RVT_Group14
727,Group14,F2,9.486157309,RVT,RVT_Group14
728,Group14,F3,230.8139194,RVT,RVT_Group14
729,Group14,F4,4624.598044,RVT,RVT_Group14
730,Group14,F5,209.1240531,RVT,RVT_Group14
751,infected,F6,3314.577774,RVT,RVT_Group3E
752,infected,F7,2065.698457,RVT,RVT_Group3E
753,infected,F8,317.1994614,RVT,RVT_Group3E
754,infected,F9,5.543410753,RVT,RVT_Group3E
755,infected,F10,76.71508781,RVT,RVT_Group3E
781,combo,F11,145.0347957,RVT,RVT_Group9
782,combo,F12,454.8946208,RVT,RVT_Group9
783,combo,G1,14.80573584,RVT,RVT_Group9
784,combo,G2,2.796442283,RVT,RVT_Group9
785,combo,G3,1180.626771,RVT,RVT_Group9
786,Group10,G4,2531.974326,RVT,RVT_Group10
787,Group10,G5,32.84143908,RVT,RVT_Group10
788,Group10,G6,64.78444276,RVT,RVT_Group10
789,Group10,G7,2022.168458,RVT,RVT_Group10
790,Group10,G8,868.1577272,RVT,RVT_Group10
801,BNZ,G9,0.048974899,RVT,RVT_Group15
802,BNZ,G10,0,RVT,RVT_Group15
803,BNZ,G11,0.15948951,RVT,RVT_Group15
804,BNZ,G12,0.045194757,RVT,RVT_Group15
805,BNZ,H1,9237.220521,RVT,RVT_Group15
811,Group14,H2,63.98937828,RVT,RVT_Group14
812,Group14,H3,634.6825801,RVT,RVT_Group14
813,Group14,H4,18.9970086,RVT,RVT_Group14
814,Group14,H5,514.606103,RVT,RVT_Group14
815,Group14,H6,4.074272007,RVT,RVT_Group14
511,naive,A1,0,RVB,RVB_Group1C
512,naive,A2,0,RVB,RVB_Group1C
513,naive,A3,0,RVB,RVB_Group1C
514,naive,A4,0.617300092,RVB,RVB_Group1C
515,naive,A5,0,RVB,RVB_Group1C
531,naive,A6,0,RVB,RVB_Group1C
532,naive,A7,0,RVB,RVB_Group1C
533,naive,A8,0,RVB,RVB_Group1C
534,naive,A9,0,RVB,RVB_Group1C
535,naive,A10,0.007550509,RVB,RVB_Group1C
551,naive,A11,0,RVB,RVB_Group1C
552,naive,A12,0.290365486,RVB,RVB_Group1C
553,naive,B1,0.114756871,RVB,RVB_Group1C
554,naive,B2,0.655233101,RVB,RVB_Group1C
555,naive,B3,0.038781373,RVB,RVB_Group1C
581,infected,B4,9265.668976,RVB,RVB_Group3E
582,infected,B5,990.8111838,RVB,RVB_Group3E
583,infected,B6,169.0815772,RVB,RVB_Group3E
584,infected,B7,2.141700201,RVB,RVB_Group3E
585,infected,B8,111479.9463,RVB,RVB_Group3E
611,combo,B9,79.35438756,RVB,RVB_Group9
612,combo,B10,0,RVB,RVB_Group9
613,combo,B11,249.8623607,RVB,RVB_Group9
614,combo,B12,305.3931613,RVB,RVB_Group9
615,combo,C1,0,RVB,RVB_Group9
616,Group10,C2,2402.182171,RVB,RVB_Group10
617,Group10,C3,786.7390981,RVB,RVB_Group10
618,Group10,C4,293.1873452,RVB,RVB_Group10
619,Group10,C5,152.2615857,RVB,RVB_Group10
620,Group10,C6,422.2510321,RVB,RVB_Group10
631,BNZ,C7,0,RVB,RVB_Group15
632,BNZ,C8,0,RVB,RVB_Group15
633,BNZ,C9,0.355439581,RVB,RVB_Group15
634,BNZ,C10,0,RVB,RVB_Group15
635,BNZ,C11,0.582376224,RVB,RVB_Group15
641,Group14,C12,9952.708459,RVB,RVB_Group14
642,Group14,D1,154137.4476,RVB,RVB_Group14
643,Group14,D2,2454.307689,RVB,RVB_Group14
644,Group14,D3,743.2485262,RVB,RVB_Group14
645,Group14,D4,143.1245929,RVB,RVB_Group14
666,infected,D5,48708.06982,RVB,RVB_Group3E
667,infected,D6,89823.32819,RVB,RVB_Group3E
668,infected,D7,3326.177747,RVB,RVB_Group3E
669,infected,D8,7.573637292,RVB,RVB_Group3E
670,infected,D9,513.3351175,RVB,RVB_Group3E
696,combo,D10,116.8069412,RVB,RVB_Group9
697,combo,D11,251.1686984,RVB,RVB_Group9
698,combo,D12,176.0093309,RVB,RVB_Group9
699,combo,E1,140.1631383,RVB,RVB_Group9
700,combo,E2,19138.81372,RVB,RVB_Group9
701,Group10,E3,152.2310038,RVB,RVB_Group10
702,Group10,E4,23.07169811,RVB,RVB_Group10
703,Group10,E5,4.580253683,RVB,RVB_Group10
704,Group10,E6,199.0755121,RVB,RVB_Group10
705,Group10,E7,4.383707102,RVB,RVB_Group10
716,BNZ,E8,0.738741647,RVB,RVB_Group15
717,BNZ,E9,0,RVB,RVB_Group15
718,BNZ,E10,0.006252732,RVB,RVB_Group15
719,BNZ,E11,0.668123983,RVB,RVB_Group15
720,BNZ,E12,0.308459167,RVB,RVB_Group15
726,Group14,F1,7.101818494,RVB,RVB_Group14
727,Group14,F2,75.8510789,RVB,RVB_Group14
728,Group14,F3,2.250670271,RVB,RVB_Group14
729,Group14,F4,31.99109829,RVB,RVB_Group14
730,Group14,F5,5570.365162,RVB,RVB_Group14
751,infected,F6,72.91528192,RVB,RVB_Group3E
752,infected,F7,0,RVB,RVB_Group3E
753,infected,F8,108.2058128,RVB,RVB_Group3E
754,infected,F9,185.452341,RVB,RVB_Group3E
755,infected,F10,0,RVB,RVB_Group3E
781,combo,F11,0.040537542,RVB,RVB_Group9
782,combo,F12,119.3885643,RVB,RVB_Group9
783,combo,G1,6340.732444,RVB,RVB_Group9
784,combo,G2,70.50812926,RVB,RVB_Group9
785,combo,G3,34.04612375,RVB,RVB_Group9
786,Group10,G4,3524.628165,RVB,RVB_Group10
787,Group10,G5,51922.78309,RVB,RVB_Group10
788,Group10,G6,43.46781266,RVB,RVB_Group10
789,Group10,G7,25.0529201,RVB,RVB_Group10
790,Group10,G8,25.52013757,RVB,RVB_Group10
801,BNZ,G9,6.673204456,RVB,RVB_Group15
802,BNZ,G10,0.295423991,RVB,RVB_Group15
803,BNZ,G11,0,RVB,RVB_Group15
804,BNZ,G12,13.92112183,RVB,RVB_Group15
805,BNZ,H1,0.805883004,RVB,RVB_Group15
811,Group14,H2,34.80945813,RVB,RVB_Group14
812,Group14,H3,156.0628303,RVB,RVB_Group14
813,Group14,H4,4215.978973,RVB,RVB_Group14
814,Group14,H5,18.918363,RVB,RVB_Group14
815,Group14,H6,54.4369748,RVB,RVB_Group14
