filename,cluster_index,Metabolite_classes,CF_superclass_score,MeanDecreaseAccuracy,annotation,ppm,M.Z,RT,Cosine.Score,No..of.Shared.Peaks,Mass.Diff..to.Library.Reference,Analog.,Nearest.Neighbors,Restoration_information
X502.294_2.879,264,Lipids and lipid-like molecules,0.047619048,2.318411056,LPE 20:4_C25H44NO7P,2.389044796,502.294,2.879,0.76092,10,1.0076,Yes,PE(22:4/0:0); [M+H]+ C27H49N1O7P1,combo_BNZ
X506.255_3.172,4581,No matches,0,2.153562605,NA,NA,506.255,3.172,NA,NA,NA,No,MoNA:918587 Innovar,combo
X511.21_3.171,9375,No matches,0,3.360343381,NA,NA,511.21,3.171,NA,NA,NA,No,Self-Loop,not_restored
X522.357_2.957,65,No matches,0,2.300428992,LPC 18:1_C26H52NO7P or PC O-18:1_C26H52NO7P or LPC O-18:2;O_C26H52NO7P,3.063048645,522.357,2.957,0.883564,9,0.00164795,No,Self-Loop,BNZ
X528.311_2.928,8010,Lipids and lipid-like molecules,0.047619048,3.540458794,NA,NA,528.311,2.928,NA,NA,NA,Yes,NCGC00380283-01!4-[5-[[4-[5-[acetyl(hydroxy)amino]pentylamino]-4-oxobutanoyl]-hydroxyamino]pentylamino]-4-oxobutanoic acid,not_restored
X544.34_2.89,162,No matches,0,3.328550179,LPC 20:4_C28H50NO7P or LPC O-20:5;O_C28H50NO7P or PC O-20:4_C28H50NO7P,0.367417558,544.34,2.89,0.934161,7,48.0114,Yes,Self-Loop,BNZ
X568.341_2.887,113,Lipids and lipid-like molecules,0.115789474,3.034394513,LPC 22:6_C30H50NO7P or  PC O-22:6_C30H50NO7P,2.111412926,568.341,2.887,0.920392,7,43.9735,Yes,Spectral Match to 1-(9Z-Octadecenoyl)-sn-glycero-3-phosphocholine from NIST14,BNZ
X570.357_2.934,6965,No matches,0,3.620643822,LPC 22:5_C30H52NO7P or  LPC 22:5_C30H52NO7P or  LPC O-22:6;O_C30H52NO7P or  PC O-22:5_C30H52NO7P,2.805268434,570.357,2.934,0.917107,8,45.9854,Yes,Self-Loop,not_restored
X590.322_2.887,2005,Lipids and lipid-like molecules,0.375,2.973098536,NA,NA,590.322,2.887,NA,NA,NA,Yes,Spectral Match to 1-Hexadecanoyl-sn-glycero-3-phosphocholine from NIST14,BNZ
X599.241_2.765,5678,No matches,0,3.351932594,NA,NA,599.241,2.765,NA,NA,NA,No,"ReSpect:PT112290 E-3,4,5'-trihydroxy-3'-glucopyranosylstilbene|E-Astringin|(2S,3R,4S,5S,6R)-2-[3-[(E)-2-(3,4-dihydroxyphenyl)ethenyl]-5-hydroxyphenoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",not_restored
X604.362_2.948,958,No matches,0,2.708743915,PC 22:3;O_C30H54NO9P,1.82010451,604.362,2.948,0.936386,5,74.1463,Yes,"Spectral Match to 1,2-Dipentadecanoyl-sn-glycero-3-phosphocholine from NIST14",BNZ
X608.227_2.768,1876,No matches,0,4.285844464,NA,NA,608.227,2.768,NA,NA,NA,No,NA,not_restored
X637.306_3.32,35,No matches,0,4.232330719,NA,NA,637.306,3.32,NA,NA,NA,No,NA,not_restored
X654.332_3.32,337,No matches,0,2.900144776,NA,NA,654.332,3.32,NA,NA,NA,No,NA,not_restored
X790.38_2.768,76,No matches,0,4.979432628,NA,NA,790.38,2.768,NA,NA,NA,No,Massbank:PR101056 1-O-b-D-glucopyranosyl sinapate|1-O-Sinapoyl-beta-D-glucose|1-O-Sinapoyl beta-D-glucoside,not_restored
X792.329_2.764,7927,No matches,0,3.927032863,NA,NA,792.329,2.764,NA,NA,NA,No,Self-Loop,not_restored
X795.335_2.768,137,Organic acids and derivatives,0.058823529,3.120447791,NA,NA,795.335,2.768,NA,NA,NA,No,NA,combo
X801.313_2.768,350,No matches,0,3.591563431,NA,NA,801.313,2.768,NA,NA,NA,No,NA,combo
X801.815_2.767,5230,No matches,0,2.267548393,NA,NA,801.815,2.767,NA,NA,NA,No,NA,combo
