"cluster_index","features","M.Z","RT","Annotation","Cosine.Score","No..of.Shared.Peaks","Mass.Diff..to.Library.Reference","ppm.error","Analog.","Nearest.Neighbors","Proximity","classes","CF_superclass_score"
50,"X432.238_2.769",432.238,2.769,"smenospongidine",0.723284,4,16.0455,35793.2,"Yes","ReSpect:PT112290 E-3,4,5'-trihydroxy-3'-glucopyranosylstilbene|E-Astringin|(2S,3R,4S,5S,6R)-2-[3-[(E)-2-(3,4-dihydroxyphenyl)ethenyl]-5-hydroxyphenoxy]-6-(hydroxymethyl)oxane-3,4,5-triol","Second Analog","no matches",0
53,"X267.123_2.767",267.123,2.767,"rhodioloside",0.729013,4,51.032,160400,"Yes","D-Mannitol","First Analog","no matches",0
54,"X200.165_2.552",200.165,2.552,"alpha-Pinene",0.787137,4,63.0349,459673,"Yes","alpha-Pinene","First Analog","no matches",0
56,"X608.393_3.098",608.393,3.098,"Spectral Match to 1,2-Ditetradecanoyl-sn-glycero-3-phosphocholine from NIST14",0.911153,5,70.1149,103337,"Yes","DIDECANOYL-GLYCEROPHOSPHOCHOLINE","First Analog","no matches",0
58,"X137.046_0.31",137.046,0.31,"Spectral Match to Allopurinol from NIST14",0.8225,5,9.16e-05,0.668044,"No","Spectral Match to Allopurinol from NIST14","First","Organoheterocyclic compounds",0.325
72,"X333.063_2.524",333.063,2.524,NA,NA,NA,NA,NA,"No","Self-Loop","Self-Loop","no matches",0
75,"X285.133_2.768",285.133,2.768,"D-Mannitol",0.78304,7,85.0204,424862,"Yes","rhodioloside","First Analog","no matches",0
76,"X790.38_2.768",790.38,2.768,NA,NA,NA,NA,NA,"No","Massbank:PR101056 1-O-b-D-glucopyranosyl sinapate|1-O-Sinapoyl-beta-D-glucose|1-O-Sinapoyl beta-D-glucoside","First Analog","no matches",0
78,"X582.341_3.046",582.341,3.046,NA,NA,NA,NA,NA,"No","DIDECANOYL-GLYCEROPHOSPHOCHOLINE","Fourth Analog","no matches",0
125,"X694.465_3.135",694.465,3.135,"Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14",0.950302,7,12.0738,17088.6,"Yes","Self-Loop","Self-Loop","no matches",0
137,"X795.335_2.768",795.335,2.768,NA,NA,NA,NA,NA,"No",NA,"None","Organic acids and derivatives",0.058823529
161,"X554.31_2.942",554.31,2.942,NA,NA,NA,NA,NA,"No",NA,"None","no matches",0
170,"X680.414_3.051",680.414,3.051,"Spectral Match to 1-Myristoyl-2-stearoyl-sn-glycero-3-phosphocholine from NIST14",0.938969,10,54.1562,73725,"Yes","Self-Loop","Self-Loop","no matches",0
173,"X666.433_3.092",666.433,3.092,"Spectral Match to 1-(9Z-Octadecenoyl)-2-tetradecanoyl-sn-glycero-3-phosphocholine from NIST14",0.949152,9,66.1196,90259.1,"Yes","Self-Loop","Self-Loop","no matches",0
179,"X281.102_2.768",281.102,2.768,"Massbank: esculin hydrate|7-hydroxy-6-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-2-one",0.880162,4,59.9849,175864,"Yes","ADENOSINE-MONOPHOSPHATE","Second","Nucleosides, nucleotides, and analogues",0.245901639
190,"X664.419_3.086",664.419,3.086,"Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14",0.942285,7,42.1198,59614.3,"Yes","Self-Loop","Self-Loop","no matches",0
196,"X550.351_3.01",550.351,3.01,"DIDECANOYL-GLYCEROPHOSPHOCHOLINE",0.95536,7,16.031,28304.2,"Yes","Self-Loop","Self-Loop","no matches",0
216,"X607.227_2.771",607.227,2.771,NA,NA,NA,NA,NA,"No",NA,"None","no matches",0
224,"X650.366_2.938",650.366,2.938,"Spectral Match to 1-Myristoyl-2-stearoyl-sn-glycero-3-phosphocholine from NIST14",0.936339,7,84.2038,114630,"Yes","Self-Loop","Self-Loop","no matches",0
250,"X568.361_2.947",568.361,2.947,"Spectral Match to 1-Octadecyl-2-acetyl-sn-glycero-3-phosphocholine from NIST14",0.923694,7,15.959,28890.3,"Yes","Self-Loop","Self-Loop","no matches",0
256,"X622.372_2.977",622.372,2.977,"Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14",0.931625,6,84.1668,119125,"Yes","Self-Loop","Self-Loop","no matches",0
274,"X674.439_3.163",674.439,3.163,"Spectral Match to 1,2-Di-(9Z-tetradecenoyl)-sn-glycero-3-phosphocholine from NIST14",0.930088,8,0.00250244,3.71039,"No","Self-Loop","Self-Loop","Lipids and lipid-like molecules",1
281,"X184.074_0.312",184.074,0.312,"Spectral Match to Phosphocholine from NIST14",0.971761,6,0.000701904,3.81318,"No","PHOSPHORYLCHOLINE","First","Organic nitrogen compounds",0.6
317,"X474.249_2.887",474.249,2.887,NA,NA,NA,NA,NA,"No","ReSpect:PT101903 Cytidine-5'-diphosphate sodium salt hydrate,from yeast|CDP Sodium Salt|Cytidine 5'-Diphosphoric Acid|[(2R,3S,4R,5R)-5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphono hydrogen p","First Analog","no matches",0
335,"X694.429_3.054",694.429,3.054,"Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14",0.943973,7,12.1102,17140.2,"Yes","Self-Loop","Self-Loop","no matches",0
337,"X654.332_3.32",654.332,3.32,NA,NA,NA,NA,NA,"No",NA,"None","no matches",0
341,"X414.14_2.772",414.14,2.772,NA,NA,NA,NA,NA,"No",NA,"None","no matches",0
350,"X801.313_2.768",801.313,2.768,NA,NA,NA,NA,NA,"No",NA,"None","no matches",0
358,"X538.315_2.977",538.315,2.977,NA,NA,NA,NA,NA,"No","DIDECANOYL-GLYCEROPHOSPHOCHOLINE","Fourth Analog","no matches",0
359,"X429.191_2.885",429.191,2.885,"MoNA:918587 Innovar",0.911744,4,91.9641,272707,"Yes","ReSpect:PT111810 1-O-b-D-glucopyranosyl sinapate|1-O-Sinapoyl-beta-D-glucose|1-O-Sinapoyl beta-D-glucoside|[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] (E)-3-(4-hydroxy-3,5-dimethoxyphenyl)prop-2-eno","First Analog","no matches",0
434,"X221.06_2.396",221.06,2.396,NA,NA,NA,NA,NA,"No","Massbank:AU265101 Naproxen|2-(6-Methoxy-2-naphthyl)propionic acid|2-(6-methoxynaphthalen-2-yl)propanoic acid","First Analog","no matches",0
435,"X650.403_3.074",650.403,3.074,"Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14",0.944831,7,56.1356,79451.6,"Yes","Self-Loop","Self-Loop","no matches",0
439,"X269.088_0.433",269.088,0.433,"Massbank:EQ313504 Didanosine|9-[(2R,5S)-5-(hydroxymethyl)-2-oxolanyl]-3H-purin-6-one",0.945882,4,31.9903,134924,"Yes","INOSINE - 50.0 eV","First","Nucleosides, nucleotides, and analogues",0.245901639
472,"X682.363_3.329",682.363,3.329,NA,NA,NA,NA,NA,"No",NA,"None","no matches",0
474,"X153.041_0.412",153.041,0.412,NA,NA,NA,NA,NA,"No","GUANINE - 50.0 eV","First Analog","no matches",0
506,"X596.393_3.06",596.393,3.06,"Spectral Match to 1-Palmitoyl-2-glutaryl phosphatidylcholine from NIST14",0.844258,8,13.9785,22901.6,"Yes","DIDECANOYL-GLYCEROPHOSPHOCHOLINE","Second","Lipids and lipid-like molecules",0.333333333
509,"X652.418_3.078",652.418,3.078,"Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14",0.942563,7,54.1208,76599.9,"Yes","Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14","First Analog","no matches",0
513,"X367.336_3.39",367.336,3.39,"3Beta-Hydroxy-23,24-Bisnorchol-5-Enic Acid",0.81164,11,17.878,46410.5,"Yes","7-alpha-hydroxy cholesterol","First","Lipids and lipid-like molecules",0.074074074
515,"X662.402_3.017",662.402,3.017,"Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14",0.935047,7,44.1368,62469,"Yes","Spectral Match to 1-Myristoyl-2-stearoyl-sn-glycero-3-phosphocholine from NIST14","First Analog","no matches",0
543,"X119.049_2.77",119.049,2.77,"Massbank:LU028501 2-Hydroxybenzonitrile",0.93852,4,0.994995,8288.59,"Yes","Massbank:LU028501 2-Hydroxybenzonitrile","First Analog","no matches",0
557,"X566.382_3.018",566.382,3.018,"DIDECANOYL-GLYCEROPHOSPHOCHOLINE",0.880679,7,0,0,"No","DIDECANOYL-GLYCEROPHOSPHOCHOLINE","First","Lipids and lipid-like molecules",0.333333333
584,"X289.014_2.395",289.014,2.395,NA,NA,NA,NA,NA,"No","Spectral Match to Sulfachloropyridazine from NIST14","Second","Benzenoids",0.233333333
587,"X696.445_3.083",696.445,3.083,"Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14",0.919449,7,10.094,14286.5,"Yes","Self-Loop","Self-Loop","no matches",0
588,"X638.366_2.95",638.366,2.95,"Spectral Match to 1-Myristoyl-2-stearoyl-sn-glycero-3-phosphocholine from NIST14",0.945714,11,96.2036,130966,"Yes","Self-Loop","Self-Loop","no matches",0
600,"X720.445_3.09",720.445,3.09,"Spectral Match to KDdiA-PC from NIST14",0.9267,8,0.00158691,2.20269,"No","Self-Loop","Self-Loop","Lipids and lipid-like molecules",1
623,"X534.286_3.175",534.286,3.175,NA,NA,NA,NA,NA,"No","ReSpect:PT111810 1-O-b-D-glucopyranosyl sinapate|1-O-Sinapoyl-beta-D-glucose|1-O-Sinapoyl beta-D-glucoside|[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] (E)-3-(4-hydroxy-3,5-dimethoxyphenyl)prop-2-eno","First Analog","no matches",0
638,"X594.341_2.975",594.341,2.975,"Spectral Match to 1-Palmitoyl-2-glutaryl phosphatidylcholine from NIST14",0.912322,6,16.03,26262.7,"Yes","Spectral Match to 1-Palmitoyl-2-glutaryl phosphatidylcholine from NIST14","First Analog","no matches",0
667,"X666.397_3.021",666.397,3.021,"Spectral Match to 1-Myristoyl-2-stearoyl-sn-glycero-3-phosphocholine from NIST14",0.945746,10,68.1726,92806.1,"Yes","Self-Loop","Self-Loop","no matches",0
688,"X692.449_3.051",692.449,3.051,"Spectral Match to 1-(9Z-Octadecenoyl)-2-tetradecanoyl-sn-glycero-3-phosphocholine from NIST14",0.94153,8,40.1044,54746,"Yes","Self-Loop","Self-Loop","no matches",0
702,"X632.393_3.152",632.393,3.152,NA,NA,NA,NA,NA,"No",NA,"None","no matches",0
733,"X108.045_2.395",108.045,2.395,NA,NA,NA,NA,NA,"No","Self-Loop","Self-Loop","no matches",0
754,"X620.356_2.913",620.356,2.913,"Spectral Match to 1,2-Dipentadecanoyl-sn-glycero-3-phosphocholine from NIST14",0.93325,5,86.1837,121980,"Yes","Spectral Match to 1,2-Ditetradecanoyl-sn-glycero-3-phosphocholine from NIST14","First Analog","no matches",0
779,"X564.331_3.008",564.331,3.008,NA,NA,NA,NA,NA,"No","DIDECANOYL-GLYCEROPHOSPHOCHOLINE","Fourth Analog","no matches",0
847,"X690.434_3.14",690.434,3.14,"Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14",0.950157,7,16.1046,22793.7,"Yes","Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14","First Analog","no matches",0
871,"X704.45_3.153",704.45,3.153,"Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14",0.938647,7,2.08911,2956.82,"Yes","Self-Loop","Self-Loop","no matches",0
872,"X856.569_3.369",856.569,3.369,"Spectral Match to 1-Octadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine from NIST14",0.944943,9,45.97,56711.1,"Yes","Self-Loop","Self-Loop","no matches",0
902,"X634.372_2.992",634.372,2.992,"Spectral Match to 1-(9Z-Octadecenoyl)-2-tetradecanoyl-sn-glycero-3-phosphocholine from NIST14",0.922809,8,98.1833,134029,"Yes","Spectral Match to 1,2-Ditetradecanoyl-sn-glycero-3-phosphocholine from NIST14","First Analog","no matches",0
925,"X760.475_3.131",760.475,3.131,"Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14",0.952242,7,53.9363,76338.7,"Yes","Spectral Match to 1-Octadecanoyl-2-octadecenoyl-sn-glycero-3-phosphocholine from NIST14","First","Lipids and lipid-like molecules",0.162162162
929,"X722.461_3.045",722.461,3.045,"Spectral Match to 1-(9Z-Octadecenoyl)-2-tetradecanoyl-sn-glycero-3-phosphocholine from NIST14",0.91906,7,10.0919,13776.3,"Yes","Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14","First Analog","no matches",0
936,"X678.397_2.979",678.397,2.979,"Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14",0.943497,7,28.1423,39831.2,"Yes","Self-Loop","Self-Loop","no matches",0
958,"X604.362_2.948",604.362,2.948,"Spectral Match to 1,2-Ditetradecanoyl-sn-glycero-3-phosphocholine from NIST14",0.936386,5,74.1463,109278,"Yes","Spectral Match to 1,2-Dipentadecanoyl-sn-glycero-3-phosphocholine from NIST14","First Analog","no matches",0
966,"X732.445_3.025",732.445,3.025,"Spectral Match to 1-Myristoyl-2-stearoyl-sn-glycero-3-phosphocholine from NIST14",0.941672,8,2.12543,2893.43,"Yes","Self-Loop","Self-Loop","no matches",0
976,"X746.46_3.114",746.46,3.114,"Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14",0.941646,7,39.9211,56502.3,"Yes","Self-Loop","Self-Loop","no matches",0
1001,"X748.439_2.944",748.439,2.944,"Spectral Match to 1-Myristoyl-2-stearoyl-sn-glycero-3-phosphocholine from NIST14",0.941437,10,13.8691,18880.5,"Yes","Self-Loop","Self-Loop","no matches",0
1009,"X748.439_2.997",748.439,2.997,"Spectral Match to 1-Myristoyl-2-stearoyl-sn-glycero-3-phosphocholine from NIST14",0.944007,10,13.8688,18880.1,"Yes","Self-Loop","Self-Loop","no matches",0
1058,"X776.578_3.558",776.578,3.558,"Spectral Match to Docosahexaenoyl PAF C-16 from NIST14",0.960187,8,16.012,20202.2,"Yes","Spectral Match to Arachidonoylthio-PC from NIST14","First","Lipids and lipid-like molecules",0.162162162
1074,"X538.351_2.803",538.351,2.803,"Spectral Match to 1-Stearoyl-2-hydroxy-sn-glycero-3-phosphocholine from NIST14",0.934558,9,13.9842,26668.7,"Yes","Spectral Match to 1-(9Z-Octadecenoyl)-sn-glycero-3-phosphocholine from NIST14","First","Lipids and lipid-like molecules",0.115789474
1089,"X640.382_3.01",640.382,3.01,"Spectral Match to 1-Myristoyl-2-stearoyl-sn-glycero-3-phosphocholine from NIST14",0.935062,11,94.188,128222,"Yes","Self-Loop","Self-Loop","no matches",0
1107,"X351.217_2.741",351.217,2.741,NA,NA,NA,NA,NA,"No",NA,"None","no matches",0
1108,"X648.388_2.997",648.388,2.997,"Spectral Match to 1-Myristoyl-2-stearoyl-sn-glycero-3-phosphocholine from NIST14",0.946838,9,86.1824,117324,"Yes","Self-Loop","Self-Loop","no matches",0
1117,"X774.563_3.476",774.563,3.476,"Spectral Match to 1-Myristoyl-2-stearoyl-sn-glycero-3-phosphocholine from NIST14",0.942807,11,39.9926,54443.6,"Yes","Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14","First Analog","no matches",0
1140,"X392.977_0.31",392.977,0.31,NA,NA,NA,NA,NA,"No",NA,"None","no matches",0
1159,"X710.387_2.978",710.387,2.978,"Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14",0.948,7,3.84833,5446.73,"Yes","Self-Loop","Self-Loop","no matches",0
1208,"X706.428_3.062",706.428,3.062,"Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14",0.932166,7,0.110596,156.532,"Yes","Self-Loop","Self-Loop","no matches",0
1239,"X662.403_3.098",662.403,3.098,"Spectral Match to 1-Myristoyl-2-stearoyl-sn-glycero-3-phosphocholine from NIST14",0.940681,8,72.1673,98244.3,"Yes","Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14","First Analog","no matches",0
1605,"X344.229_2.208",344.229,2.208,"Spectral Match to Nonaethylene glycol from NIST14",0.965046,9,71.0252,171040,"Yes","Spectral Match to Nonaethylene glycol from NIST14","First","Organic oxygen compounds",0.266666667
1777,"X786.601_5.59",786.601,5.59,"Spectral Match to 1-Stearoyl-2-linoleoyl-sn-glycero-3-phosphocholine from NIST14",0.93789,7,0.0032959,4.19004,"No","Self-Loop","Self-Loop","Lipids and lipid-like molecules",1
1784,"X328.321_3.281",328.321,3.281,"Massbank:RP003203 Heptadecanoyl Ethanolamide|Margaroyl-ethanolamine|N-(2-hydroxyethyl)heptadecanamide",0.950392,6,14.0158,44593,"Yes","Spectral Match to Palmitoyl ethanolamide from NIST14","First","Organic acids and derivatives",0.058823529
1827,"X620.437_2.993",620.437,2.993,"Spectral Match to p-tert-Octylphenol nonaglycol ether from NIST14",0.912401,13,17.0311,28224.9,"Yes","Spectral Match to p-tert-Octylphenol undecaglycol ether from NIST14","First","no matches",0
1837,"X576.411_2.999",576.411,2.999,"Spectral Match to p-tert-Octylphenol heptaglycol ether from NIST14",0.893284,16,61.0563,118474,"Yes","Spectral Match to p-tert-Octylphenol undecaglycol ether from NIST14","Second","no matches",0
1843,"X532.385_3.004",532.385,3.004,"Spectral Match to p-tert-Octylphenol heptaglycol ether from NIST14",0.892445,16,17.0301,33045.4,"Yes","Spectral Match to p-tert-Octylphenol heptaglycol ether from NIST14","First","no matches",0
1854,"X852.537_3.277",852.537,3.277,"Spectral Match to 1-Oleoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14",0.938234,8,91.9552,120901,"Yes","Self-Loop","Self-Loop","no matches",0
1859,"X664.463_2.992",664.463,2.992,"Spectral Match to p-tert-Octylphenol nonaglycol ether from NIST14",0.924043,13,61.0569,101187,"Yes","Spectral Match to p-tert-Octylphenol undecaglycol ether from NIST14","First","no matches",0
1865,"X768.553_4.193",768.553,4.193,"PE(18:0/20:4); [M+H]+ C43H79N1O8P1",0.773059,17,1.00592,1310.57,"Yes","Spectral Match to 1-Hexadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphoethanolamine from NIST14","First","Lipids and lipid-like molecules",0.047619048
1870,"X415.14_2.768",415.14,2.768,NA,NA,NA,NA,NA,"No",NA,"None","no matches",0
1876,"X608.227_2.768",608.227,2.768,NA,NA,NA,NA,NA,"No",NA,"None","no matches",0
1879,"X708.489_2.982",708.489,2.982,"Spectral Match to p-tert-Octylphenol undecaglycol ether from NIST14",0.85495,12,17.0294,24628.1,"Yes","Spectral Match to p-tert-Octylphenol undecaglycol ether from NIST14","First","no matches",0
1887,"X560.416_3.006",560.416,3.006,"Spectral Match to p-tert-Octylphenol heptaglycol ether from NIST14",0.871493,17,45.0612,87437.2,"Yes","Spectral Match to p-tert-Octylphenol heptaglycol ether from NIST14","First Analog","no matches",0
1893,"X444.238_2.77",444.238,2.77,NA,NA,NA,NA,NA,"No","Spectral Match to 1-Myristoyl-sn-glycero-3-phosphocholine from NIST14","First Analog","Organic acids and derivatives",0.058823529
1894,"X714.471_3.247",714.471,3.247,"Spectral Match to 1-Myristoyl-2-stearoyl-sn-glycero-3-phosphocholine from NIST14",0.939567,7,20.0995,27362.2,"Yes","Self-Loop","Self-Loop","no matches",0
1897,"X604.442_3.001",604.442,3.001,"Spectral Match to p-tert-Octylphenol nonaglycol ether from NIST14",0.831904,15,1.03638,1717.54,"Yes","Spectral Match to p-tert-Octylphenol heptaglycol ether from NIST14","First Analog","no matches",0
1899,"X472.363_3.023",472.363,3.023,"Spectral Match to p-tert-Octylphenol pentaglycol ether from NIST14",0.735546,11,45.0585,105448,"Yes","Spectral Match to p-tert-Octylphenol heptaglycol ether from NIST14","First Analog","no matches",0
1900,"X538.388_3.104",538.388,3.104,"Spectral Match to Lyso-PC(16:0) from NIST14",0.975705,10,42.0585,84739.2,"Yes","Spectral Match to 1-Stearoyl-2-hydroxy-sn-glycero-3-phosphocholine from NIST14","First","Lipids and lipid-like molecules",0.115789474
1901,"X488.359_3.01",488.359,3.01,"Spectral Match to p-tert-Octylphenol hexaglycol ether from NIST14",0.8569,17,17.0268,36124.8,"Yes","Spectral Match to p-tert-Octylphenol hexaglycol ether from NIST14","First","no matches",0
1928,"X756.553_3.87",756.553,3.87,"Spectral Match to 1-(9Z-Octadecenoyl)-2-tetradecanoyl-sn-glycero-3-phosphocholine from NIST14",0.938844,6,23.9996,32761.6,"Yes","Self-Loop","Self-Loop","no matches",0
1930,"X874.579_3.277",874.579,3.277,"Spectral Match to 1-Octadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine from NIST14",0.964481,11,63.9802,78929.6,"Yes","Self-Loop","Self-Loop","no matches",0
1936,"X842.589_3.585",842.589,3.585,"Spectral Match to 1-Octadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine from NIST14",0.937159,9,31.9903,39465,"Yes","Spectral Match to 1-Octadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine from NIST14","First Analog","no matches",0
1943,"X814.559_3.275",814.559,3.275,"Spectral Match to 1-(9Z-Octadecenoyl)-2-tetradecanoyl-sn-glycero-3-phosphocholine from NIST14",0.938551,8,82.0038,111942,"Yes","Self-Loop","Self-Loop","no matches",0
1944,"X836.543_3.281",836.543,3.281,"Spectral Match to 1-Oleoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14",0.941181,10,75.9605,99871.6,"Yes","Self-Loop","Self-Loop","no matches",0
1954,"X846.547_3.178",846.547,3.178,"Spectral Match to 1-Oleoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14",0.941827,10,85.9655,113026,"Yes","Self-Loop","Self-Loop","no matches",0
1960,"X648.468_2.995",648.468,2.995,"Spectral Match to 1,2-Ditetradecanoyl-sn-glycero-3-phosphocholine from NIST14",0.802463,6,30.0399,44273.5,"Yes","Spectral Match to 1-Octadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine from NIST14","First Analog","no matches",0
1981,"X798.563_3.515",798.563,3.515,"Spectral Match to 1-Myristoyl-2-stearoyl-sn-glycero-3-phosphocholine from NIST14",0.938888,8,63.9933,87116.7,"Yes","Spectral Match to 1-Hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine from NIST14","Second","Lipids and lipid-like molecules",0.285714286
1984,"X638.403_2.987",638.403,2.987,"Spectral Match to 1-Myristoyl-2-stearoyl-sn-glycero-3-phosphocholine from NIST14",0.947912,8,96.1669,130916,"Yes","Self-Loop","Self-Loop","no matches",0
1994,"X850.595_3.651",850.595,3.651,"Spectral Match to 1-Oleoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14",0.954859,7,90.0126,118347,"Yes","Self-Loop","Self-Loop","no matches",0
2015,"X880.569_3.302",880.569,3.302,"Spectral Match to 1-Octadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine from NIST14",0.960978,10,69.9702,86319.1,"Yes","Spectral Match to 1-Octadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine from NIST14","First Analog","no matches",0
2036,"X744.481_3.262",744.481,3.262,"Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14",0.930593,7,37.9421,53701.3,"Yes","Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14","First Analog","no matches",0
2081,"X249.112_2.768",249.112,2.768,NA,NA,NA,NA,NA,"No","Self-Loop","Self-Loop","no matches",0
2093,"X477.181_2.949",477.181,2.949,NA,NA,NA,NA,NA,"No",NA,"None","no matches",0
2100,"X896.564_3.284",896.564,3.284,"Spectral Match to 1-Octadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine from NIST14",0.970872,12,85.9647,106051,"Yes","Self-Loop","Self-Loop","no matches",0
2101,"X728.405_3.36",728.405,3.36,NA,NA,NA,NA,NA,"No",NA,"None","no matches",0
2105,"X806.532_3.587",806.532,3.587,"Spectral Match to 1-Palmitoyl-2-docosahexaenoyl-sn-glycero-3-phosphocholine from NIST14",0.748018,8,0.0184937,22.9293,"No","Spectral Match to 1-Palmitoyl-2-docosahexaenoyl-sn-glycero-3-phosphocholine from NIST14","First","Lipids and lipid-like molecules",0.03030303
2108,"X634.408_3.14",634.408,3.14,"Spectral Match to 1-(9Z-Octadecenoyl)-2-tetradecanoyl-sn-glycero-3-phosphocholine from NIST14",0.914939,8,98.1449,133977,"Yes","Self-Loop","Self-Loop","no matches",0
2114,"X650.404_3.146",650.404,3.146,"Spectral Match to 1-(9Z-Octadecenoyl)-2-tetradecanoyl-sn-glycero-3-phosphocholine from NIST14",0.939882,7,82.1494,112141,"Yes","Self-Loop","Self-Loop","no matches",0
