Input Mass	Matched Mass	Delta	Name	Formula	Ion	LMSD Examples
536.335	536.3347	.0003	PC 18:1	C26H50NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 18:1
536.335	536.3347	.0003	PC 18:1	C26H50NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 18:1
536.336	536.3347	.0013	PC 18:1	C26H50NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 18:1
538.351	538.3503	.0007	PC 18:0	C26H52NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 18:0
538.352	538.3503	.0017	PC 18:0	C26H52NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 18:0
538.387	538.3867	.0003	LPC 19:0	C27H56NO7P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=LPC 19:0
538.387	538.3867	.0003	PC O-19:0	C27H56NO7P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC O-19:0
538.388	538.3867	.0013	LPC 19:0	C27H56NO7P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=LPC 19:0
538.388	538.3867	.0013	PC O-19:0	C27H56NO7P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC O-19:0
542.323	542.3241	.0011	LPC 20:5	C28H48NO7P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=LPC 20:5
542.324	542.3241	.0001	LPC 20:5	C28H48NO7P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=LPC 20:5
546.353	546.3554	.0024	LPC 20:3	C28H52NO7P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=LPC 20:3
546.354	546.3554	.0014	LPC 20:3	C28H52NO7P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=LPC 20:3
546.356	546.3554	.0006	LPC 20:3	C28H52NO7P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=LPC 20:3
550.387	550.3867	.0003	LPC 20:1	C28H56NO7P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=LPC 20:1
550.387	550.3867	.0003	PC O-20:1	C28H56NO7P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC O-20:1
550.388	550.3867	.0013	LPC 20:1	C28H56NO7P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=LPC 20:1
550.388	550.3867	.0013	PC O-20:1	C28H56NO7P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC O-20:1
552.402	552.4024	.0004	LPC 20:0	C28H58NO7P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=LPC 20:0
552.402	552.4024	.0004	PC O-20:0	C28H58NO7P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC O-20:0
552.403	552.4024	.0006	LPC 20:0	C28H58NO7P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=LPC 20:0
552.403	552.4024	.0006	PC O-20:0	C28H58NO7P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC O-20:0
566.38	566.3816	.0016	PC 20:0	C28H56NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 20:0
566.382	566.3816	.0004	PC 20:0	C28H56NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 20:0
568.341	568.3398	.0012	LPC 22:6	C30H50NO7P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=LPC 22:6
570.356	570.3554	.0006	LPC 22:5	C30H52NO7P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=LPC 22:5
572.372	572.3711	.0009	LPC 22:4	C30H54NO7P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=LPC 22:4
594.377	594.3765	.0005	PC 21:1;O	C29H56NO9P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 21:1;O
594.377	594.3765	.0005	PC 21:1;O	C29H56NO9P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 21:1;O
706.538	706.5381	.0001	PC 30:0	C38H76NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 30:0
706.538	706.5381	.0001	PC 30:0	C38H76NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 30:0
706.538	706.5381	.0001	PC 30:0	C38H76NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 30:0
706.538	706.5381	.0001	PC 30:0	C38H76NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 30:0
720.443	720.4446	.0016	PC 28:3;O3	C36H66NO11P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 28:3;O3
720.444	720.4446	.0006	PC 28:3;O3	C36H66NO11P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 28:3;O3
720.445	720.4446	.0004	PC 28:3;O3	C36H66NO11P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 28:3;O3
732.555	732.5538	.0012	PC 32:1	C40H78NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 32:1
732.555	732.5538	.0012	PC 32:1	C40H78NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 32:1
734.568	734.5694	.0014	PC 32:0	C40H80NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 32:0
734.569	734.5694	.0004	PC 32:0	C40H80NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 32:0
734.569	734.5694	.0004	PC 32:0	C40H80NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 32:0
734.569	734.5694	.0004	PC 32:0	C40H80NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 32:0
734.569	734.5694	.0004	PC 32:0	C40H80NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 32:0
734.569	734.5694	.0004	PC 32:0	C40H80NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 32:0
734.569	734.5694	.0004	PC 32:0	C40H80NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 32:0
734.569	734.5694	.0004	PC 32:0	C40H80NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 32:0
734.57	734.5694	.0006	PC 32:0	C40H80NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 32:0
734.57	734.5694	.0006	PC 32:0	C40H80NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 32:0
734.57	734.5694	.0006	PC 32:0	C40H80NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 32:0
734.57	734.5694	.0006	PC 32:0	C40H80NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 32:0
734.57	734.5694	.0006	PC 32:0	C40H80NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 32:0
734.57	734.5694	.0006	PC 32:0	C40H80NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 32:0
734.57	734.5694	.0006	PC 32:0	C40H80NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 32:0
734.57	734.5694	.0006	PC 32:0	C40H80NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 32:0
734.57	734.5694	.0006	PC 32:0	C40H80NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 32:0
734.57	734.5694	.0006	PC 32:0	C40H80NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 32:0
734.57	734.5694	.0006	PC 32:0	C40H80NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 32:0
734.57	734.5694	.0006	PC 32:0	C40H80NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 32:0
734.57	734.5694	.0006	PC 32:0	C40H80NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 32:0
734.57	734.5694	.0006	PC 32:0	C40H80NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 32:0
734.57	734.5694	.0006	PC 32:0	C40H80NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 32:0
734.57	734.5694	.0006	PC 32:0	C40H80NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 32:0
734.571	734.5694	.0016	PC 32:0	C40H80NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 32:0
744.553	744.5538	.0008	PC 33:2	C41H78NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 33:2
744.553	744.5538	.0008	PC 33:2	C41H78NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 33:2
744.553	744.5538	.0008	PC 33:2	C41H78NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 33:2
744.553	744.5538	.0008	PC 33:2	C41H78NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 33:2
744.553	744.5538	.0008	PC 33:2	C41H78NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 33:2
744.554	744.5538	.0002	PC 33:2	C41H78NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 33:2
744.59	744.5902	.0002	PC O-34:2	C42H82NO7P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC O-34:2
746.568	746.5694	.0014	PC 33:1	C41H80NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 33:1
746.568	746.5694	.0014	PC 33:1	C41H80NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 33:1
746.603	746.6058	.0028	PC O-34:1	C42H84NO7P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC O-34:1
748.62	748.6215	.0015	PC O-34:0	C42H86NO7P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC O-34:0
754.537	754.5381	.0011	PC 34:4	C42H76NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 34:4
756.551	756.5538	.0028	PC 34:3	C42H78NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 34:3
758.569	758.5694	.0004	PC 34:2	C42H80NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 34:2
758.57	758.5694	.0006	PC 34:2	C42H80NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 34:2
758.571	758.5694	.0016	PC 34:2	C42H80NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 34:2
758.571	758.5694	.0016	PC 34:2	C42H80NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 34:2
760.583	760.5851	.0021	PC 34:1	C42H82NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 34:1
760.584	760.5851	.0011	PC 34:1	C42H82NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 34:1
760.584	760.5851	.0011	PC 34:1	C42H82NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 34:1
760.584	760.5851	.0011	PC 34:1	C42H82NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 34:1
760.584	760.5851	.0011	PC 34:1	C42H82NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 34:1
760.584	760.5851	.0011	PC 34:1	C42H82NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 34:1
760.584	760.5851	.0011	PC 34:1	C42H82NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 34:1
760.584	760.5851	.0011	PC 34:1	C42H82NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 34:1
760.584	760.5851	.0011	PC 34:1	C42H82NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 34:1
760.584	760.5851	.0011	PC 34:1	C42H82NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 34:1
760.584	760.5851	.0011	PC 34:1	C42H82NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 34:1
760.585	760.5851	.0001	PC 34:1	C42H82NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 34:1
760.585	760.5851	.0001	PC 34:1	C42H82NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 34:1
760.585	760.5851	.0001	PC 34:1	C42H82NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 34:1
760.585	760.5851	.0001	PC 34:1	C42H82NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 34:1
760.585	760.5851	.0001	PC 34:1	C42H82NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 34:1
760.585	760.5851	.0001	PC 34:1	C42H82NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 34:1
760.585	760.5851	.0001	PC 34:1	C42H82NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 34:1
760.585	760.5851	.0001	PC 34:1	C42H82NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 34:1
760.585	760.5851	.0001	PC 34:1	C42H82NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 34:1
760.585	760.5851	.0001	PC 34:1	C42H82NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 34:1
760.585	760.5851	.0001	PC 34:1	C42H82NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 34:1
760.585	760.5851	.0001	PC 34:1	C42H82NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 34:1
760.585	760.5851	.0001	PC 34:1	C42H82NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 34:1
760.586	760.5851	.0009	PC 34:1	C42H82NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 34:1
760.586	760.5851	.0009	PC 34:1	C42H82NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 34:1
760.586	760.5851	.0009	PC 34:1	C42H82NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 34:1
760.586	760.5851	.0009	PC 34:1	C42H82NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 34:1
760.586	760.5851	.0009	PC 34:1	C42H82NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 34:1
760.586	760.5851	.0009	PC 34:1	C42H82NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 34:1
762.599	762.6007	.0017	PC 34:0	C42H84NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 34:0
762.599	762.6007	.0017	PC 34:0	C42H84NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 34:0
762.599	762.6007	.0017	PC 34:0	C42H84NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 34:0
762.599	762.6007	.0017	PC 34:0	C42H84NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 34:0
762.599	762.6007	.0017	PC 34:0	C42H84NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 34:0
762.599	762.6007	.0017	PC 34:0	C42H84NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 34:0
762.599	762.6007	.0017	PC 34:0	C42H84NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 34:0
762.599	762.6007	.0017	PC 34:0	C42H84NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 34:0
762.599	762.6007	.0017	PC 34:0	C42H84NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 34:0
762.599	762.6007	.0017	PC 34:0	C42H84NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 34:0
762.599	762.6007	.0017	PC 34:0	C42H84NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 34:0
762.599	762.6007	.0017	PC 34:0	C42H84NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 34:0
762.6	762.6007	.0007	PC 34:0	C42H84NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 34:0
766.536	766.5381	.0021	PC 35:5	C43H76NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 35:5
766.537	766.5381	.0011	PC 35:5	C43H76NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 35:5
766.573	766.5745	.0015	PC O-36:5	C44H80NO7P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC O-36:5
766.574	766.5745	.0005	PC O-36:5	C44H80NO7P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC O-36:5
766.574	766.5745	.0005	PC O-36:5	C44H80NO7P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC O-36:5
768.553	768.5538	.0008	PC 35:4	C43H78NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 35:4
768.553	768.5538	.0008	PC 35:4	C43H78NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 35:4
768.588	768.5902	.0022	PC O-36:4	C44H82NO7P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC O-36:4
768.589	768.5902	.0012	PC O-36:4	C44H82NO7P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC O-36:4
772.584	772.5851	.0011	PC 35:2	C43H82NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 35:2
772.584	772.5851	.0011	PC 35:2	C43H82NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 35:2
772.62	772.6215	.0015	PC O-36:2	C44H86NO7P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC O-36:2
772.62	772.6215	.0015	PC O-36:2	C44H86NO7P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC O-36:2
772.62	772.6215	.0015	PC O-36:2	C44H86NO7P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC O-36:2
774.599	774.6007	.0017	PC 35:1	C43H84NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 35:1
774.599	774.6007	.0017	PC 35:1	C43H84NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 35:1
774.599	774.6007	.0017	PC 35:1	C43H84NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 35:1
774.599	774.6007	.0017	PC 35:1	C43H84NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 35:1
774.6	774.6007	.0007	PC 35:1	C43H84NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 35:1
774.6	774.6007	.0007	PC 35:1	C43H84NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 35:1
774.601	774.6007	.0003	PC 35:1	C43H84NO8P	[M+H]+	https://lipidmaps.org/resources/tools/chemdb_ontology?abbrev=PC 35:1
